Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781377163

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
-------------------------------------------------------------------------------------------------------------------
iter     1 | steps      512 | sps   4679 | ep_rew   -64.40 | ep_len     88 | n_eps    4 | pol -0.0006 | val 34.0239 | ent -1.3862 | kl 0.000125 | ev  0.000 | lr 3.00e-04
  [best] new best -64.40 → models/lunar_ppo/lunar_checkpoint_best.pt
iter     2 | steps    1,024 | sps   3065 | ep_rew    -4.49 | ep_len     84 | n_eps    7 | pol -0.0012 | val  0.4190 | ent -1.3858 | kl 0.000044 | ev  0.437 | lr 3.00e-04
  [best] new best -4.49 → models/lunar_ppo/lunar_checkpoint_best.pt
iter     3 | steps    1,536 | sps   5133 | ep_rew    -4.16 | ep_len     90 | n_eps    5 | pol -0.0012 | val  0.4505 | ent -1.3848 | kl 0.000078 | ev  0.390 | lr 3.00e-04
  [best] new best -4.16 → models/lunar_ppo/lunar_checkpoint_best.pt
iter     4 | steps    2,048 | sps   2530 | ep_rew    -3.85 | ep_len     88 | n_eps    5 | pol -0.0007 | val  0.4061 | ent -1.3843 | kl 0.000051 | ev  0.286 | lr 3.00e-04
  [best] new best -3.85 → models/lunar_ppo/lunar_checkpoint_best.pt
iter     5 | steps    2,560 | sps   2861 | ep_rew    -3.86 | ep_len     83 | n_eps    7 | pol -0.0009 | val  0.3589 | ent -1.3839 | kl 0.000033 | ev  0.650 | lr 3.00e-04
iter     6 | steps    3,072 | sps   2784 | ep_rew    -5.09 | ep_len    104 | n_eps    4 | pol -0.0009 | val  0.4748 | ent -1.3823 | kl 0.000041 | ev  0.312 | lr 3.00e-04
iter     7 | steps    3,584 | sps   1896 | ep_rew    -5.33 | ep_len     87 | n_eps    5 | pol -0.0012 | val  0.3335 | ent -1.3816 | kl 0.000039 | ev  0.664 | lr 3.00e-04
iter     8 | steps    4,096 | sps   2403 | ep_rew    -5.96 | ep_len    103 | n_eps    6 | pol -0.0008 | val  0.6746 | ent -1.3825 | kl 0.000030 | ev  0.506 | lr 3.00e-04
iter     9 | steps    4,608 | sps   2947 | ep_rew    -5.27 | ep_len     99 | n_eps    6 | pol -0.0004 | val  0.4915 | ent -1.3814 | kl 0.000015 | ev  0.678 | lr 3.00e-04
iter    10 | steps    5,120 | sps   3012 | ep_rew    -3.12 | ep_len     82 | n_eps    6 | pol -0.0005 | val  0.6975 | ent -1.3775 | kl 0.000018 | ev  0.245 | lr 3.00e-04
