Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781379942

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
-------------------------------------------------------------------------------------------------------------------
iter     1 | steps      512 | sps   6338 | ep_rew  -288.23 | ep_len     88 | n_eps    4 | pol -0.0005 | val  0.1300 | ent -1.3863 | kl 0.000007 | ev  0.125 | lr 1.00e-04
  [best] new best -288.23 → models/lunar_ppo/lunar_checkpoint_best.pt
iter     2 | steps    1,024 | sps   6453 | ep_rew  -267.60 | ep_len     91 | n_eps    5 | pol -0.0004 | val  0.1073 | ent -1.3862 | kl 0.000004 | ev  0.686 | lr 1.00e-04
  [best] new best -267.60 → models/lunar_ppo/lunar_checkpoint_best.pt
iter     3 | steps    1,536 | sps   5301 | ep_rew  -143.46 | ep_len     98 | n_eps    6 | pol -0.0004 | val  0.0469 | ent -1.3861 | kl 0.000008 | ev  0.318 | lr 1.00e-04
  [best] new best -143.46 → models/lunar_ppo/lunar_checkpoint_best.pt
iter     4 | steps    2,048 | sps   2590 | ep_rew  -155.19 | ep_len     90 | n_eps    5 | pol -0.0002 | val  0.0604 | ent -1.3861 | kl 0.000005 | ev  0.592 | lr 1.00e-04
iter     5 | steps    2,560 | sps   3167 | ep_rew  -226.52 | ep_len     87 | n_eps    7 | pol -0.0002 | val  0.1097 | ent -1.3860 | kl 0.000003 | ev  0.390 | lr 1.00e-04
iter     6 | steps    3,072 | sps   3123 | ep_rew  -191.94 | ep_len     85 | n_eps    5 | pol -0.0004 | val  0.0849 | ent -1.3859 | kl 0.000004 | ev  0.373 | lr 1.00e-04
iter     7 | steps    3,584 | sps   2891 | ep_rew  -204.34 | ep_len     85 | n_eps    6 | pol -0.0002 | val  0.1195 | ent -1.3859 | kl 0.000005 | ev  0.619 | lr 1.00e-04
iter     8 | steps    4,096 | sps   3176 | ep_rew  -271.53 | ep_len     91 | n_eps    6 | pol -0.0007 | val  0.1223 | ent -1.3856 | kl 0.000010 | ev  0.427 | lr 1.00e-04
iter     9 | steps    4,608 | sps   3297 | ep_rew  -100.53 | ep_len     83 | n_eps    6 | pol -0.0003 | val  0.0426 | ent -1.3859 | kl 0.000004 | ev  0.489 | lr 1.00e-04
  [best] new best -100.53 → models/lunar_ppo/lunar_checkpoint_best.pt
iter    10 | steps    5,120 | sps   3290 | ep_rew  -200.29 | ep_len     90 | n_eps    6 | pol -0.0002 | val  0.0768 | ent -1.3857 | kl 0.000002 | ev  0.500 | lr 1.00e-04
iter    11 | steps    5,632 | sps   3259 | ep_rew  -201.01 | ep_len    100 | n_eps    5 | pol -0.0002 | val  0.0876 | ent -1.3854 | kl 0.000002 | ev  0.451 | lr 1.00e-04
iter    12 | steps    6,144 | sps   3146 | ep_rew  -205.30 | ep_len    106 | n_eps    5 | pol -0.0001 | val  0.0840 | ent -1.3854 | kl 0.000002 | ev  0.322 | lr 1.00e-04
iter    13 | steps    6,656 | sps   3273 | ep_rew  -179.00 | ep_len     82 | n_eps    6 | pol -0.0002 | val  0.0932 | ent -1.3845 | kl 0.000002 | ev  0.091 | lr 1.00e-04
iter    14 | steps    7,168 | sps   3349 | ep_rew  -163.78 | ep_len    113 | n_eps    4 | pol -0.0004 | val  0.0689 | ent -1.3847 | kl 0.000004 | ev -0.719 | lr 1.00e-04
iter    15 | steps    7,680 | sps   3326 | ep_rew  -119.89 | ep_len     91 | n_eps    6 | pol -0.0001 | val  0.0590 | ent -1.3853 | kl 0.000002 | ev  0.071 | lr 1.00e-04
iter    16 | steps    8,192 | sps   3306 | ep_rew  -178.36 | ep_len     92 | n_eps    5 | pol -0.0003 | val  0.0782 | ent -1.3850 | kl 0.000002 | ev -0.202 | lr 1.00e-04
iter    17 | steps    8,704 | sps   3293 | ep_rew   -98.40 | ep_len     91 | n_eps    6 | pol -0.0001 | val  0.0544 | ent -1.3841 | kl 0.000002 | ev -0.224 | lr 1.00e-04
  [best] new best -98.40 → models/lunar_ppo/lunar_checkpoint_best.pt
iter    18 | steps    9,216 | sps   3064 | ep_rew  -172.86 | ep_len     86 | n_eps    5 | pol -0.0001 | val  0.0861 | ent -1.3838 | kl 0.000001 | ev  0.154 | lr 1.00e-04
iter    19 | steps    9,728 | sps   3176 | ep_rew  -202.96 | ep_len    108 | n_eps    5 | pol -0.0001 | val  0.0657 | ent -1.3843 | kl 0.000001 | ev  0.152 | lr 1.00e-04
iter    20 | steps   10,240 | sps   3333 | ep_rew  -163.71 | ep_len    104 | n_eps    6 | pol -0.0003 | val  0.0449 | ent -1.3848 | kl 0.000001 | ev  0.241 | lr 1.00e-04
iter    21 | steps   10,752 | sps   3342 | ep_rew  -184.93 | ep_len    102 | n_eps    4 | pol -0.0003 | val  0.0239 | ent -1.3844 | kl 0.000002 | ev  0.433 | lr 1.00e-04
iter    22 | steps   11,264 | sps   3295 | ep_rew  -122.04 | ep_len     99 | n_eps    7 | pol -0.0002 | val  0.0215 | ent -1.3844 | kl 0.000003 | ev  0.472 | lr 1.00e-04
